ID: 37	, AMBAS: 3	 ETX: 2	, EMM: 0 
ID: 45	, AMBAS: 6	 ETX: 1	, EMM: 0 
ID: 32	, AMBAS: 3	 ETX: 5	, EMM: 0 
ID: 96	, AMBAS: 6	 ETX: 3	, EMM: 0 
ID: 24	, AMBAS: 2	 ETX: 2	, EMM: 0 
ID: 30	, AMBAS: 3	 ETX: 5	, EMM: 0 
ID: 3	, AMBAS: 4	 ETX: 0	, EMM: 0 
ID: 57	, AMBAS: 1	 ETX: 4	, EMM: 0 
ID: 80	, AMBAS: 3	 ETX: 0	, EMM: 0 
ID: 37	, AMBAS: 4	 ETX: 2	, EMM: 0 
ID: 45	, AMBAS: 7	 ETX: 1	, EMM: 0 
ID: 60	, AMBAS: 4	 ETX: 0	, EMM: 0 
ID: 96	, AMBAS: 7	 ETX: 3	, EMM: 0 
ID: 90	, AMBAS: 0	 ETX: 4	, EMM: 0 
ID: 53	, AMBAS: 2	 ETX: 3	, EMM: 0 
ID: 30	, AMBAS: 4	 ETX: 5	, EMM: 0 
ID: 43	, AMBAS: 3	 ETX: 3	, EMM: 0 
ID: 32	, AMBAS: 4	 ETX: 5	, EMM: 0 
ID: 100	, AMBAS: 0	 ETX: 3	, EMM: 0 
ID: 51	, AMBAS: 4	 ETX: 2	, EMM: 0 
ID: 32	, AMBAS: 4	 ETX: 6	, EMM: 0 
ID: 32	, AMBAS: 4	 ETX: 7	, EMM: 0 
ID: 60	, AMBAS: 5	 ETX: 0	, EMM: 0 
ID: 3	, AMBAS: 5	 ETX: 0	, EMM: 0 
ID: 89	, AMBAS: 0	 ETX: 5	, EMM: 1 
ID: 16	, AMBAS: 1	 ETX: 0	, EMM: 0 
ID: 37	, AMBAS: 5	 ETX: 2	, EMM: 0 
ID: 57	, AMBAS: 2	 ETX: 4	, EMM: 0 
ID: 50	, AMBAS: 1	 ETX: 2	, EMM: 0 
ID: 24	, AMBAS: 3	 ETX: 2	, EMM: 0 
ID: 80	, AMBAS: 4	 ETX: 0	, EMM: 0 
ID: 53	, AMBAS: 3	 ETX: 3	, EMM: 0 
ID: 90	, AMBAS: 0	 ETX: 5	, EMM: 0 
ID: 96	, AMBAS: 7	 ETX: 4	, EMM: 0 
ID: 78	, AMBAS: 0	 ETX: 1	, EMM: 0 
ID: 20	, AMBAS: 1	 ETX: 7	, EMM: 1 
ID: 30	, AMBAS: 5	 ETX: 5	, EMM: 0 
ID: 62	, AMBAS: 1	 ETX: 2	, EMM: 0 
